S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
28,ASG00028,Eiravati,Bawa,Eiravati Bawa,Female,Married,34,1992-02-15,2015-01-07,2026-04-27,HR Analyst,HR,Kolkata,Relieved,PG,Mid,1153000
29,ASG00029,Charan,Sanghvi,Charan Sanghvi,Male,Married,32,1994-07-06,2015-01-07,2018-05-29,Sales Trainee,Sales,Bangalore,Relieved,PG,Mid,694000
30,ASG00030,Vrinda,Dhar,Vrinda Dhar,Female,Single,32,1993-10-29,2015-01-08,2015-05-11,Accounts Trainee,Finance,Chennai,Relieved,UG,Day,689000
31,ASG00031,Warda,Karnik,Warda Karnik,Female,Single,42,1984-06-09,2015-01-08,,Senior Sales Executive,Sales,Chennai,Active,UG,Night,2057000
32,ASG00032,Darsh,Shan,Darsh Shan,Male,Married,44,1982-07-11,2015-01-09,,Sr Accountant,Finance,Bangalore,Active,UG,Night,2272000
33,ASG00033,Vrinda,Krishnamurthy,Vrinda Krishnamurthy,Female,Married,43,1983-01-06,2015-01-09,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Mid,2143000
34,ASG00034,Sai,Morar,Sai Morar,Male,Married,38,1987-10-31,2015-01-09,,Sales Executive,Sales,Kolkata,Active,UG,Day,1342000
35,ASG00035,Zashil,Srinivas,Zashil Srinivas,Male,Married,36,1989-11-28,2015-01-12,2020-07-19,Data Analyst,Analytics,Chennai,Relieved,PG,Day,1275000
36,ASG00036,Suhani,Sant,Suhani Sant,Female,Single,36,1989-11-11,2015-01-12,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,1706000
37,ASG00037,Isha,Menon,Isha Menon,Female,Married,37,1988-12-13,2015-01-13,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1290000
38,ASG00038,Krish,Andra,Krish Andra,Male,Single,44,1982-07-08,2015-01-13,,Sr Accountant,Finance,Chennai,Active,UG,Day,2212000
39,ASG00039,Anamika,Doctor,Anamika Doctor,Female,Single,34,1992-06-03,2015-01-15,,Senior Sales Executive,Sales,Hyderabad,Active,UG,Mid,1557000
40,ASG00040,Vasudha,Virk,Vasudha Virk,Female,Married,44,1982-07-27,2015-01-15,,Regional Sales Lead,Sales,Chennai,Active,PG,Mid,2201000
41,ASG00041,Wishi,Parsa,Wishi Parsa,Female,Married,36,1990-08-14,2015-01-16,,BI Developer,Analytics,Hyderabad,Active,UG,Day,1226000
42,ASG00042,Irya,Lad,Irya Lad,Female,Married,45,1981-08-02,2015-01-16,2017-02-18,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,PG,Day,2294000
43,ASG00043,Watika,Shukla,Watika Shukla,Female,Single,33,1993-08-06,2015-01-16,,Sales Executive,Sales,Chennai,Active,PG,Mid,1128000
44,ASG00044,Yashodhara,Tank,Yashodhara Tank,Female,Married,35,1991-04-08,2015-01-16,2022-08-30,Sales Executive,Sales,Hyderabad,Relieved,PG,Day,1192000
45,ASG00045,Teerth,Bandi,Teerth Bandi,Male,Married,42,1984-06-12,2015-01-17,2026-06-18,Sr Accountant,Finance,Mumbai,Relieved,UG,Day,2131000
46,ASG00046,Mohini,Nadig,Mohini Nadig,Female,Single,32,1994-06-27,2015-01-18,2023-06-09,Accounts Trainee,Finance,Kolkata,Relieved,PG,Day,699000
47,ASG00047,Veer,Chaudhari,Veer Chaudhari,Male,Married,32,1994-03-30,2015-01-18,,Data Analyst,Analytics,Mumbai,Active,PG,Day,1020000
48,ASG00048,Urvashi,Varma,Urvashi Varma,Female,Married,32,1994-02-24,2015-01-18,,Accounts Executive,Finance,Mumbai,Active,PG,Day,1076000
49,ASG00049,Kai,Sethi,Kai Sethi,Male,Married,33,1992-12-11,2015-01-19,,Regional Sales Lead,Sales,Chennai,Active,PG,Day,1478000
50,ASG00050,Gavin,Sandal,Gavin Sandal,Male,Married,39,1987-01-08,2015-01-19,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Night,1846000
51,ASG00051,Wakeeta,Bhatt,Wakeeta Bhatt,Female,Married,37,1989-01-28,2015-01-19,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1732000
52,ASG00052,Kiaan,Tara,Kiaan Tara,Male,Married,37,1988-09-29,2015-01-19,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Night,1739000
53,ASG00053,Qasim,Char,Qasim Char,Male,Married,35,1990-11-08,2015-01-19,,Accounts Executive,Finance,Kolkata,Active,PG,Day,1168000
54,ASG00054,Gunbir,Sabharwal,Gunbir Sabharwal,Male,Single,50,1976-06-09,2015-01-20,,Sales Manager,Sales,Hyderabad,Active,PG,Day,3154000
55,ASG00055,Elijah,Sengupta,Elijah Sengupta,Male,Single,35,1991-02-27,2015-01-21,,HR Analyst,HR,Kolkata,Active,PG,Night,1205000
56,ASG00056,Advika,Chanda,Advika Chanda,Female,Single,41,1985-05-16,2015-01-23,,Regional Sales Lead,Sales,Chennai,Active,UG,Day,2033000
57,ASG00057,Aadi,Seth,Aadi Seth,Male,Single,45,1981-04-15,2015-01-25,,HR Manager,HR,Bangalore,Active,PG,Mid,2841000
58,ASG00058,Benjamin,Issac,Benjamin Issac,Male,Married,36,1990-09-10,2015-01-26,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Mid,1657000
59,ASG00059,Jatin,Dara,Jatin Dara,Male,Married,42,1984-01-16,2015-01-26,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Mid,2088000
60,ASG00060,Anya,Loyal,Anya Loyal,Female,Married,33,1993-07-24,2015-01-28,2024-11-24,Sales Executive,Sales,Bangalore,Relieved,PG,Day,1121000
61,ASG00061,Pranav,Dubey,Pranav Dubey,Male,Married,38,1988-06-07,2015-01-28,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1795000
62,ASG00062,Aahana,Munshi,Aahana Munshi,Female,Married,35,1991-03-30,2015-01-29,,Payroll Analyst,Payroll,Hyderabad,Active,UG,Mid,1215000
63,ASG00063,Yatan,Deshmukh,Yatan Deshmukh,Male,Married,35,1991-01-24,2015-01-29,,HR Analyst,HR,Chennai,Active,UG,Night,1228000
64,ASG00064,Jasmit,Solanki,Jasmit Solanki,Female,Single,36,1989-10-16,2015-01-29,,Sr Accountant,Finance,Hyderabad,Active,UG,Day,1673000
65,ASG00065,Dominic,Thaman,Dominic Thaman,Male,Married,36,1989-09-27,2015-01-31,2017-03-08,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Day,1699000
66,ASG00066,Mohini,Chad,Mohini Chad,Female,Single,41,1985-05-09,2015-01-31,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1995000
67,ASG00067,Turvi,Dutta,Turvi Dutta,Female,Married,38,1988-08-15,2015-02-01,2018-11-15,Data Analyst,Analytics,Hyderabad,Relieved,UG,Mid,1328000
68,ASG00068,Ekanta,Mohan,Ekanta Mohan,Female,Married,40,1986-06-05,2015-02-01,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1944000
69,ASG00069,Zehaan,Sabharwal,Zehaan Sabharwal,Male,Married,34,1992-06-11,2015-02-01,,Senior Sales Executive,Sales,Bangalore,Active,PG,Mid,1551000
70,ASG00070,Saumya,Dixit,Saumya Dixit,Female,Single,37,1989-07-01,2015-02-01,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1759000
71,ASG00071,Guneet,Puri,Guneet Puri,Male,Married,58,1968-01-19,2015-02-01,,Sales Manager,Sales,Bangalore,Active,PG,Mid,3800000
72,ASG00072,Abhimanyu,Cherian,Abhimanyu Cherian,Male,Married,42,1983-11-10,2015-02-02,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,2134000
73,ASG00073,Saumya,Borah,Saumya Borah,Female,Single,33,1993-04-26,2015-02-02,,Senior Payroll Analyst,Payroll,Hyderabad,Active,PG,Mid,1431000
74,ASG00074,Atharv,Palan,Atharv Palan,Male,Single,34,1992-02-14,2015-02-02,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Day,1551000
75,ASG00075,Patrick,Bal,Patrick Bal,Male,Married,45,1981-08-22,2015-02-03,,HR Manager,HR,Bangalore,Active,PG,Day,2801000
76,ASG00076,Agastya,Uppal,Agastya Uppal,Male,Single,37,1989-06-16,2015-02-03,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1744000
77,ASG00077,Vyanjana,Narang,Vyanjana Narang,Female,Single,44,1982-07-21,2015-02-04,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Day,2243000
78,ASG00078,Max,Sengupta,Max Sengupta,Male,Married,40,1985-09-27,2015-02-07,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Night,1962000
79,ASG00079,Omaja,Dara,Omaja Dara,Female,Single,38,1987-10-27,2015-02-09,,Sr Accountant,Finance,Mumbai,Active,PG,Night,1796000
80,ASG00080,Yadavi,Shukla,Yadavi Shukla,Female,Married,32,1993-09-16,2015-02-09,,Sales Executive,Sales,Bangalore,Active,PG,Day,1071000
81,ASG00081,Frederick,Dube,Frederick Dube,Male,Single,43,1983-02-07,2015-02-09,2017-06-28,Regional Sales Lead,Sales,Chennai,Relieved,PG,Mid,2174000
82,ASG00082,Harshil,Saraf,Harshil Saraf,Male,Single,38,1988-02-24,2015-02-09,,Regional Sales Lead,Sales,Kolkata,Active,UG,Day,1799000
83,ASG00083,Om,Shanker,Om Shanker,Male,Married,39,1987-09-02,2015-02-10,,Regional Sales Lead,Sales,Bangalore,Active,PG,Mid,1910000
84,ASG00084,Jackson,Boase,Jackson Boase,Male,Single,48,1978-05-05,2015-02-10,,Analytics Manager,Analytics,Hyderabad,Active,PG,Day,2991000
85,ASG00085,Ryan,Bandi,Ryan Bandi,Male,Married,38,1988-03-06,2015-02-11,2019-03-24,Sales Executive,Sales,Hyderabad,Relieved,PG,Mid,1355000
86,ASG00086,Guneet,Ghose,Guneet Ghose,Male,Married,40,1986-05-23,2015-02-11,,Regional Sales Lead,Sales,Mumbai,Active,PG,Day,1963000
87,ASG00087,Aradhana,Bava,Aradhana Bava,Female,Single,56,1969-09-29,2015-02-11,,Sales Manager,Sales,Bangalore,Active,UG,Day,3639000
88,ASG00088,Varsha,Gulati,Varsha Gulati,Female,Single,42,1984-08-03,2015-02-12,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,2132000
89,ASG00089,Wyatt,Bahri,Wyatt Bahri,Male,Married,46,1979-12-20,2015-02-13,2020-12-26,Finance Manager,Finance,Chennai,Relieved,UG,Mid,2839000
90,ASG00090,Dhruv,Wagle,Dhruv Wagle,Male,Married,35,1991-06-02,2015-02-13,,Regional Sales Lead,Sales,Mumbai,Active,PG,Mid,1570000
91,ASG00091,Janani,Varughese,Janani Varughese,Female,Single,46,1980-03-11,2015-02-15,,HR Manager,HR,Bangalore,Active,PG,Day,2907000
92,ASG00092,Ekantika,Dyal,Ekantika Dyal,Female,Married,37,1989-03-29,2015-02-15,,Sales Executive,Sales,Hyderabad,Active,PG,Day,1290000
93,ASG00093,Girik,Ramakrishnan,Girik Ramakrishnan,Male,Single,38,1988-06-19,2015-02-15,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1774000
94,ASG00094,Laban,Sandal,Laban Sandal,Male,Married,32,1993-12-24,2015-02-15,2017-08-23,HR Executive,HR,Bangalore,Relieved,PG,Night,708000
95,ASG00095,Sarthak,Brar,Sarthak Brar,Male,Married,37,1988-12-26,2015-02-15,,Accounts Executive,Finance,Bangalore,Active,PG,Day,1319000
96,ASG00096,Sanaya,Mody,Sanaya Mody,Female,Married,41,1985-02-25,2015-02-15,,Regional Sales Lead,Sales,Mumbai,Active,UG,Mid,2027000
97,ASG00097,Girik,Padmanabhan,Girik Padmanabhan,Male,Married,36,1990-06-24,2015-02-16,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Mid,1697000
98,ASG00098,Harita,Lall,Harita Lall,Female,Single,35,1991-01-11,2015-02-17,,HR Analyst,HR,Chennai,Active,UG,Day,1198000
99,ASG00099,Vincent,Tank,Vincent Tank,Male,Married,39,1987-01-10,2015-02-17,,Sr Accountant,Finance,Mumbai,Active,UG,Mid,1927000
100,ASG00100,Triya,Mani,Triya Mani,Female,Married,41,1984-12-29,2015-02-17,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2047000
101,ASG00101,Vivaan,Goel,Vivaan Goel,Male,Married,43,1983-01-09,2015-02-17,,Senior Sales Executive,Sales,Chennai,Active,PG,Mid,2122000
102,ASG00102,Omaja,Venkataraman,Omaja Venkataraman,Female,Married,38,1988-05-11,2015-02-18,2025-12-09,Accounts Executive,Finance,Kolkata,Relieved,UG,Day,1360000
103,ASG00103,Wridesh,Saxena,Wridesh Saxena,Male,Married,35,1991-08-15,2015-02-19,,HR Analyst,HR,Hyderabad,Active,PG,Day,1188000
104,ASG00104,Dipta,Vyas,Dipta Vyas,Female,Single,32,1993-12-10,2015-02-20,,HR Executive,HR,Mumbai,Active,PG,Day,689000
105,ASG00105,Zaitra,Mahal,Zaitra Mahal,Female,Married,45,1980-11-10,2015-02-20,,Analytics Manager,Analytics,Bangalore,Active,PG,Day,2842000
106,ASG00106,Champak,Kala,Champak Kala,Male,Married,38,1988-04-10,2015-02-21,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1811000
107,ASG00107,Jack,Ahluwalia,Jack Ahluwalia,Male,Single,43,1983-05-16,2015-02-21,2024-11-05,Sr Accountant,Finance,Bangalore,Relieved,PG,Day,2133000
108,ASG00108,Chakradhar,Sha,Chakradhar Sha,Male,Married,45,1981-08-07,2015-02-22,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,2268000
109,ASG00109,Noah,Reddy,Noah Reddy,Male,Married,36,1990-04-25,2015-02-22,,HR Analyst,HR,Hyderabad,Active,UG,Day,1271000
110,ASG00110,Hemani,Bala,Hemani Bala,Female,Married,34,1992-01-17,2015-02-22,,Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1122000
111,ASG00111,Qushi,Dugar,Qushi Dugar,Female,Single,32,1993-10-22,2015-02-23,2018-06-14,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Mid,1401000
112,ASG00112,Patrick,Yohannan,Patrick Yohannan,Male,Married,48,1978-03-27,2015-02-23,,HR Manager,HR,Kolkata,Active,UG,Day,3049000
113,ASG00113,Hritik,Choudhary,Hritik Choudhary,Male,Married,38,1988-08-21,2015-02-23,,HR Analyst,HR,Bangalore,Active,PG,Night,1346000
114,ASG00114,Logan,Kala,Logan Kala,Male,Married,34,1992-09-13,2015-02-23,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,1568000
115,ASG00115,Manan,Loyal,Manan Loyal,Male,Single,50,1975-11-25,2015-02-23,,Analytics Manager,Analytics,Mumbai,Active,UG,Mid,3188000
116,ASG00116,Ekaja,Chaudhuri,Ekaja Chaudhuri,Female,Single,34,1992-01-28,2015-02-23,,Regional Sales Lead,Sales,Mumbai,Active,UG,Mid,1502000
117,ASG00117,Libni,Char,Libni Char,Female,Married,36,1989-11-17,2015-02-24,,Accounts Executive,Finance,Mumbai,Active,UG,Day,1266000
118,ASG00118,Urmi,Garg,Urmi Garg,Female,Single,38,1988-01-27,2015-02-24,2021-12-18,Regional Sales Lead,Sales,Mumbai,Relieved,PG,Mid,1811000
119,ASG00119,Chatresh,Bhasin,Chatresh Bhasin,Male,Married,32,1994-08-15,2015-02-25,2020-10-02,Senior Payroll Analyst,Payroll,Chennai,Relieved,UG,Day,1382000
120,ASG00120,Rachana,Goyal,Rachana Goyal,Female,Married,50,1976-03-13,2015-02-25,2022-10-08,Analytics Manager,Analytics,Chennai,Relieved,PG,Day,3178000
121,ASG00121,Damyanti,Toor,Damyanti Toor,Female,Married,37,1989-08-27,2015-02-25,2018-10-03,Payroll Analyst,Payroll,Mumbai,Relieved,PG,Night,1320000
122,ASG00122,Naksh,Malhotra,Naksh Malhotra,Male,Married,36,1990-06-27,2015-02-25,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1655000
123,ASG00123,Bhavika,Manne,Bhavika Manne,Female,Married,40,1985-12-16,2015-02-27,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,1932000
124,ASG00124,Nakul,Edwin,Nakul Edwin,Male,Single,43,1982-10-04,2015-02-27,,Senior Data Analyst,Analytics,Hyderabad,Active,UG,Night,2168000
125,ASG00125,Kalpit,Kunda,Kalpit Kunda,Male,Single,32,1994-02-13,2015-02-27,,BI Developer,Analytics,Bangalore,Active,PG,Day,1025000
126,ASG00126,Bhavika,Atwal,Bhavika Atwal,Female,Married,33,1993-01-05,2015-02-27,,Accounts Executive,Finance,Bangalore,Active,PG,Day,1114000
127,ASG00127,Tripti,Kurian,Tripti Kurian,Female,Single,37,1989-07-25,2015-02-28,,Sales Executive,Sales,Hyderabad,Active,UG,Day,1297000
128,ASG00128,Triya,Aurora,Triya Aurora,Female,Married,37,1989-02-05,2015-02-28,2025-02-18,Sr Accountant,Finance,Bangalore,Relieved,UG,Day,1780000
129,ASG00129,Barkha,Char,Barkha Char,Female,Single,32,1994-07-09,2015-02-28,,HR Executive,HR,Chennai,Active,PG,Mid,690000
130,ASG00130,Jacob,Bajaj,Jacob Bajaj,Male,Married,34,1992-01-17,2015-03-01,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,1527000
131,ASG00131,Nilima,Das,Nilima Das,Female,Married,33,1993-04-27,2015-03-01,2021-08-05,Senior Payroll Analyst,Payroll,Kolkata,Relieved,PG,Night,1468000
132,ASG00132,Charvi,Palla,Charvi Palla,Female,Married,33,1993-04-01,2015-03-02,,Sales Executive,Sales,Kolkata,Active,UG,Night,1084000
133,ASG00133,Nakul,Shah,Nakul Shah,Male,Married,37,1989-06-27,2015-03-03,,Senior Sales Executive,Sales,Kolkata,Active,PG,Night,1773000
134,ASG00134,Anirudh,Raval,Anirudh Raval,Male,Married,32,1993-12-15,2015-03-03,,HR Analyst,HR,Bangalore,Active,UG,Day,1059000
135,ASG00135,Nakul,Kale,Nakul Kale,Male,Married,32,1994-06-08,2015-03-03,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,1436000
136,ASG00136,Vihaan,Sandhu,Vihaan Sandhu,Male,Single,33,1993-08-09,2015-03-03,,Data Analyst,Analytics,Mumbai,Active,UG,Mid,1131000
137,ASG00137,Darpan,Prasad,Darpan Prasad,Male,Married,37,1988-11-18,2015-03-04,,Payroll Analyst,Payroll,Hyderabad,Active,PG,Day,1280000
138,ASG00138,Zashil,Krishnamurthy,Zashil Krishnamurthy,Male,Married,37,1989-06-13,2015-03-04,2015-06-17,HR Analyst,HR,Chennai,Relieved,UG,Mid,1328000
139,ASG00139,Robert,Manne,Robert Manne,Male,Married,32,1994-04-17,2015-03-04,,Payroll Analyst,Payroll,Bangalore,Active,PG,Day,1022000
140,ASG00140,Rachana,Bhardwaj,Rachana Bhardwaj,Female,Married,39,1987-04-18,2015-03-04,,Senior Sales Executive,Sales,Mumbai,Active,UG,Mid,1853000
141,ASG00141,Urmi,Bajwa,Urmi Bajwa,Female,Married,32,1994-04-22,2015-03-04,,Payroll Analyst,Payroll,Hyderabad,Active,PG,Day,1049000
142,ASG00142,Lohit,Narayanan,Lohit Narayanan,Male,Single,36,1990-06-15,2015-03-05,,Sales Executive,Sales,Hyderabad,Active,UG,Day,1222000
143,ASG00143,Mohini,Das,Mohini Das,Female,Married,44,1981-11-10,2015-03-06,,Senior Sales Executive,Sales,Bangalore,Active,PG,Day,2246000
144,ASG00144,Manthan,Saha,Manthan Saha,Male,Married,38,1988-08-04,2015-03-06,,Senior Sales Executive,Sales,Mumbai,Active,PG,Night,1840000
145,ASG00145,Nathaniel,Bahri,Nathaniel Bahri,Male,Married,35,1990-12-28,2015-03-06,,Payroll Analyst,Payroll,Mumbai,Active,UG,Night,1216000
146,ASG00146,Pavani,Hora,Pavani Hora,Female,Single,42,1984-04-11,2015-03-06,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,2127000
147,ASG00147,Baghyawati,Chowdhury,Baghyawati Chowdhury,Female,Married,35,1990-10-21,2015-03-07,,HR Analyst,HR,Chennai,Active,UG,Night,1173000
148,ASG00148,Finn,Das,Finn Das,Male,Married,35,1991-05-03,2015-03-07,,HR Analyst,HR,Kolkata,Active,UG,Day,1179000
149,ASG00149,Daniel,Barad,Daniel Barad,Male,Married,55,1971-01-09,2015-03-08,,Sales Manager,Sales,Kolkata,Active,UG,Day,3615000
150,ASG00150,Edhitha,Virk,Edhitha Virk,Female,Married,38,1988-08-29,2015-03-09,,Sr Accountant,Finance,Hyderabad,Active,PG,Mid,1815000
151,ASG00151,Raagini,Mittal,Raagini Mittal,Female,Single,32,1994-06-26,2015-03-09,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Day,1379000
152,ASG00152,Akshay,Samra,Akshay Samra,Male,Married,38,1987-11-19,2015-03-09,2023-04-21,Regional Sales Lead,Sales,Chennai,Relieved,PG,Day,1799000
153,ASG00153,Edhitha,Parekh,Edhitha Parekh,Female,Married,32,1994-08-30,2015-03-10,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1427000
154,ASG00154,Sarthak,Rajagopalan,Sarthak Rajagopalan,Male,Married,45,1981-09-16,2015-03-10,2024-06-13,Senior Data Analyst,Analytics,Mumbai,Relieved,UG,Night,2307000
155,ASG00155,Ranbir,Khatri,Ranbir Khatri,Male,Single,35,1991-02-05,2015-03-10,2017-09-04,Data Analyst,Analytics,Hyderabad,Relieved,UG,Night,1216000
156,ASG00156,Shivansh,Kanda,Shivansh Kanda,Male,Single,45,1980-11-02,2015-03-10,,Sr Accountant,Finance,Hyderabad,Active,PG,Day,2299000
157,ASG00157,Dev,Goswami,Dev Goswami,Male,Married,36,1990-01-01,2015-03-11,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1251000
158,ASG00158,Amrita,Ranganathan,Amrita Ranganathan,Female,Single,36,1989-12-30,2015-03-12,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1658000
159,ASG00159,Joshua,Divan,Joshua Divan,Male,Married,36,1990-01-04,2015-03-12,2019-04-24,HR Analyst,HR,Bangalore,Relieved,UG,Day,1254000
160,ASG00160,Ishaan,Bajaj,Ishaan Bajaj,Male,Married,45,1980-10-13,2015-03-13,,Sr Accountant,Finance,Mumbai,Active,PG,Day,2289000
161,ASG00161,Adweta,Malhotra,Adweta Malhotra,Female,Married,32,1994-02-13,2015-03-13,,Sales Executive,Sales,Mumbai,Active,UG,Day,1032000
162,ASG00162,Wakeeta,Sahni,Wakeeta Sahni,Female,Married,32,1993-10-10,2015-03-14,,BI Developer,Analytics,Kolkata,Active,PG,Mid,1038000
163,ASG00163,Kevin,Murty,Kevin Murty,Male,Single,36,1990-01-13,2015-03-15,,HR Analyst,HR,Bangalore,Active,UG,Day,1240000
164,ASG00164,Ekantika,Chakraborty,Ekantika Chakraborty,Female,Single,40,1986-05-04,2015-03-15,,Sr Accountant,Finance,Mumbai,Active,PG,Mid,1994000
